 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 -1.531098e+01 -7.415198e+00 -5.884105e+00 -3.560164e+00 -2.629674e+00 -1.776656e+00 -7.296612e-01 -1.117696e-01 1.841450e-01 6.995512e-01
 -2.462416e+01 -1.242146e+01 -9.896455e+00 -6.415054e+00 -3.975362e+00 -3.277774e+00 -1.560757e+00 -3.060055e-01 3.016209e-01 9.872696e-01
 -3.056529e+01 -1.711878e+01 -1.301030e+01 -8.687872e+00 -5.835106e+00 -4.886955e+00 -2.189031e+00 -2.726097e-02 1.701707e-01 1.296738e+00
 -3.306862e+01 -1.825119e+01 -1.479446e+01 -1.026222e+01 -5.998440e+00 -5.211833e+00 -2.722788e+00 -8.234575e-02 7.229605e-01 1.609957e+00
 -3.343542e+01 -1.837695e+01 -1.735575e+01 -1.064108e+01 -7.177350e+00 -5.483757e+00 -2.331796e+00 -5.852509e-02 3.540904e-01 1.614358e+00
 -3.345553e+01 -2.150872e+01 -1.875622e+01 -1.297838e+01 -7.416110e+00 -5.988142e+00 -2.859474e+00 -5.827965e-01 -1.695854e-01 1.226596e+00
 -3.459209e+01 -2.027376e+01 -1.953050e+01 -1.396673e+01 -7.699713e+00 -6.234423e+00 -3.379335e+00 -1.083633e+00 1.257810e+00 1.049136e+00
 -3.702383e+01 -2.347968e+01 -2.169709e+01 -1.731560e+01 -7.708163e+00 -7.796542e+00 -4.187134e+00 -2.296713e+00 1.366250e+00 1.265553e+00
 -3.741736e+01 -2.300607e+01 -2.084662e+01 -1.865661e+01 -6.918505e+00 -9.626895e+00 -4.405216e+00 -2.996877e+00 1.977417e+00 1.374673e+00
 -3.890738e+01 -2.283814e+01 -2.190396e+01 -1.592419e+01 -5.829222e+00 -1.002271e+01 -4.615734e+00 -3.553822e+00 1.830619e+00 1.289709e+00
 -4.016927e+01 -2.259485e+01 -2.095163e+01 -1.589819e+01 -5.894750e+00 -9.004244e+00 -4.054059e+00 -2.585702e+00 2.374521e+00 1.441622e+00
 -4.010791e+01 -2.334858e+01 -2.097314e+01 -1.685642e+01 -7.115824e+00 -9.023625e+00 -4.735045e+00 -3.434963e+00 3.471364e+00 1.459707e+00
 -4.044245e+01 -2.323594e+01 -2.121060e+01 -1.585998e+01 -7.875957e+00 -9.715005e+00 -5.614340e+00 -4.111576e+00 4.314634e+00 9.366439e-01
 -4.011636e+01 -2.395762e+01 -2.197765e+01 -1.449345e+01 -8.445706e+00 -1.066485e+01 -5.905684e+00 -3.862326e+00 3.852097e+00 1.852723e+00
 -3.804098e+01 -2.564227e+01 -2.400203e+01 -1.608386e+01 -8.582369e+00 -1.095186e+01 -7.090759e+00 -3.751972e+00 3.002586e+00 1.921009e+00
 -4.247997e+01 -2.419769e+01 -2.409476e+01 -1.685902e+01 -8.546202e+00 -1.099818e+01 -6.651667e+00 -3.799554e+00 3.176422e+00 1.808404e+00
 -4.262039e+01 -2.363574e+01 -2.215977e+01 -1.697316e+01 -8.581966e+00 -1.060527e+01 -6.243819e+00 -3.764430e+00 2.855813e+00 1.653016e+00
 -4.343119e+01 -2.725063e+01 -2.424241e+01 -1.914025e+01 -9.411034e+00 -9.790171e+00 -7.131233e+00 -3.671917e+00 4.049729e+00 1.697696e+00
 -4.076212e+01 -2.841014e+01 -2.589978e+01 -1.983866e+01 -7.802092e+00 -1.071706e+01 -8.134278e+00 -4.263128e+00 4.427244e+00 1.379882e+00
 -4.494776e+01 -3.121797e+01 -2.504630e+01 -2.002914e+01 -7.869579e+00 -1.115869e+01 -8.452006e+00 -4.387645e+00 4.329285e+00 3.115800e+00
 -4.328928e+01 -3.297740e+01 -2.785637e+01 -1.996038e+01 -6.607401e+00 -1.046025e+01 -7.194399e+00 -5.673633e+00 4.151888e+00 3.242474e+00
 -4.332795e+01 -3.839380e+01 -2.776149e+01 -1.850106e+01 -7.947925e+00 -1.222542e+01 -6.340451e+00 -5.645221e+00 4.777803e+00 3.586009e+00
 -4.647998e+01 -3.976385e+01 -2.578969e+01 -1.917080e+01 -9.147823e+00 -1.360167e+01 -5.944208e+00 -6.877090e+00 5.168800e+00 3.431416e+00
 -4.392127e+01 -3.777482e+01 -2.241972e+01 -1.636440e+01 -7.648264e+00 -1.326879e+01 -5.829675e+00 -6.017272e+00 5.294390e+00 3.749286e+00
 -4.237179e+01 -3.875157e+01 -2.518861e+01 -1.813414e+01 -7.741607e+00 -1.417401e+01 -5.473293e+00 -5.479473e+00 4.806384e+00 3.243086e+00
 -3.371493e+01 -3.977516e+01 -2.546400e+01 -1.862390e+01 -8.452524e+00 -1.337079e+01 -4.976234e+00 -4.621894e+00 6.290694e+00 3.055450e+00
 -3.100957e+01 -3.960991e+01 -2.275426e+01 -2.377183e+01 -1.035364e+01 -1.217374e+01 -6.241796e+00 -3.730119e+00 6.455795e+00 4.123161e+00
